,sgx,percent_train,model,max_depth,MiB,num_features,num_rows,train_time,cpu_time,percent_spent,function,time_in_func
0,0,10,dt,3,234,28,1100000,8271706017,60.282,0.3252,tokenize_bytes,19.603706399999997
1,0,10,dt,3,234,28,1100000,8271706017,60.282,0.215,precise_xstrtod,12.960629999999998
2,0,10,dt,3,234,28,1100000,8271706017,60.282,0.1008,__pyx_f_7sklearn_4tree_9_splitter_introsort,6.076425599999999
3,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0354,__memmove_evex_unaligned_erms,2.1339828
4,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0336,0x0000000000050500,2.0254752
5,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0285,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.718037
6,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0235,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.4166269999999999
7,0,10,dt,3,234,28,1100000,8271706017,60.282,0.014,0x0000000000050a0e,0.8439479999999999
8,0,10,dt,3,234,28,1100000,8271706017,60.282,0.012,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,0.723384
9,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0097,0x0000000000050a6c,0.5847354
10,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0096,0x0000000000050a68,0.5787071999999999
11,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0092,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.5545943999999999
12,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0088,0x0000000000050a62,0.5304816
13,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0072,AVX512_SKX_isnan_DOUBLE,0.4340304
14,0,10,dt,3,234,28,1100000,8271706017,60.282,0.0058,PyArray_Nonzero,0.34963559999999994
15,0,20,dt,3,469,28,2200000,16352458188,68.413,0.2852,tokenize_bytes,19.5113876
16,0,20,dt,3,469,28,2200000,16352458188,68.413,0.1886,precise_xstrtod,12.9026918
17,0,20,dt,3,469,28,2200000,16352458188,68.413,0.1777,__pyx_f_7sklearn_4tree_9_splitter_introsort,12.1569901
18,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0313,__memmove_evex_unaligned_erms,2.1413269
19,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0294,0x0000000000050500,2.0113421999999996
20,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0275,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,1.8813575
21,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0251,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.7171663
22,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0206,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.4093077999999999
23,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0121,0x0000000000050a0e,0.8277973
24,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0091,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,0.6225583
25,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0089,0x0000000000050a6c,0.6088757
26,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0086,0x0000000000050a68,0.5883518
27,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0083,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.5678278999999999
28,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0077,0x0000000000050a62,0.5267801
29,0,20,dt,3,469,28,2200000,16352458188,68.413,0.0067,AVX512_SKX_isnan_DOUBLE,0.45836709999999997
30,0,30,dt,3,704,28,3300000,25111688961,77.604,0.2546,tokenize_bytes,19.7579784
31,0,30,dt,3,704,28,3300000,25111688961,77.604,0.2367,__pyx_f_7sklearn_4tree_9_splitter_introsort,18.3688668
32,0,30,dt,3,704,28,3300000,25111688961,77.604,0.1686,precise_xstrtod,13.0840344
33,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0431,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,3.3447324
34,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0275,__memmove_evex_unaligned_erms,2.13411
35,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0262,0x0000000000050500,2.0332248
36,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0223,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.7305692
37,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0184,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.4279136
38,0,30,dt,3,704,28,3300000,25111688961,77.604,0.013,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,1.0088519999999999
39,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0111,0x0000000000050a0e,0.8614044000000001
40,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0076,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.5897904
41,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0076,__pyx_fuse_0__pyx_f_7sklearn_4tree_9_splitter_node_split_best,0.5897904
42,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0073,0x0000000000050a6c,0.5665092
43,0,30,dt,3,704,28,3300000,25111688961,77.604,0.0073,0x0000000000050a68,0.5665092
44,0,30,dt,3,704,28,3300000,25111688961,77.604,0.007,0x0000000000050a62,0.543228
45,0,40,dt,3,939,28,4400000,33180493568,85.839,0.2819,__pyx_f_7sklearn_4tree_9_splitter_introsort,24.198014099999998
46,0,40,dt,3,939,28,4400000,33180493568,85.839,0.2297,tokenize_bytes,19.7172183
47,0,40,dt,3,939,28,4400000,33180493568,85.839,0.1519,precise_xstrtod,13.0389441
48,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0578,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,4.9614942
49,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0249,__memmove_evex_unaligned_erms,2.1373911
50,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0236,0x0000000000050500,2.0258004
51,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0202,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.7339478
52,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0166,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.4249274
53,0,40,dt,3,939,28,4400000,33180493568,85.839,0.016,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,1.373424
54,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0101,0x0000000000050a0e,0.8669739
55,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0082,__pyx_fuse_0__pyx_f_7sklearn_4tree_9_splitter_node_split_best,0.7038798
56,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0071,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.6094569000000001
57,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0065,0x0000000000050a6c,0.5579535
58,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0065,0x0000000000050a68,0.5579535
59,0,40,dt,3,939,28,4400000,33180493568,85.839,0.0063,0x0000000000050a62,0.5407857
60,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.319,__pyx_f_7sklearn_4tree_9_splitter_introsort,30.135292000000003
61,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.2076,tokenize_bytes,19.611556800000002
62,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.138,precise_xstrtod,13.036584000000001
63,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0737,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,6.9622916
64,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.023,__memmove_evex_unaligned_erms,2.172764
65,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0214,0x0000000000050500,2.0216152
66,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0184,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,1.7382112
67,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0181,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.7098708000000002
68,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.015,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.41702
69,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0087,0x0000000000050a0e,0.8218715999999999
70,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0085,__pyx_fuse_0__pyx_f_7sklearn_4tree_9_splitter_node_split_best,0.8029780000000001
71,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0066,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.6234888000000001
72,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.006,0x0000000000050a6c,0.566808
73,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.006,0x0000000000050a68,0.566808
74,0,50,dt,3,1174,28,5500000,41830105145,94.468,0.0057,0x0000000000050a62,0.5384676
75,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.3519,__pyx_f_7sklearn_4tree_9_splitter_introsort,36.1900998
76,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.1915,tokenize_bytes,19.694243
77,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.1267,precise_xstrtod,13.0300814
78,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0815,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,8.381623
79,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0206,__memmove_evex_unaligned_erms,2.1185452
80,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0205,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,2.108261
81,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0198,0x0000000000050500,2.0362716
82,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0167,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.7174614
83,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0138,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.4192196
84,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0089,__pyx_fuse_0__pyx_f_7sklearn_4tree_9_splitter_node_split_best,0.9152937999999999
85,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0084,0x0000000000050a0e,0.8638727999999999
86,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0062,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.6376204
87,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0054,0x0000000000050a6c,0.5553468
88,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0053,__pyx_f_7sklearn_4tree_10_criterion_7Entropy_children_impurity,0.5450626
89,0,60,dt,3,1409,28,6600000,50242591701,102.842,0.0052,0x0000000000050a62,0.5347784
90,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.3772,__pyx_f_7sklearn_4tree_9_splitter_introsort,42.018193999999994
91,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.1761,tokenize_bytes,19.6166595
92,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.117,precise_xstrtod,13.033215
93,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0909,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,10.125805499999998
94,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0224,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,2.4952479999999997
95,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0196,__memmove_evex_unaligned_erms,2.1833419999999997
96,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0182,0x0000000000050500,2.027389
97,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0154,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.715483
98,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0127,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.4147165
99,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.009,__pyx_fuse_0__pyx_f_7sklearn_4tree_9_splitter_node_split_best,1.0025549999999999
100,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0075,0x0000000000050a0e,0.8354624999999999
101,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0059,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.6572304999999999
102,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0052,0x0000000000050a6c,0.5792539999999999
103,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.0051,0x0000000000050a68,0.5681145
104,0,70,dt,3,1644,28,7699999,58569724585,111.395,0.005,AVX512_SKX_isnan_DOUBLE,0.556975
105,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.3997,__pyx_f_7sklearn_4tree_9_splitter_introsort,47.752159
106,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.1638,tokenize_bytes,19.569186
107,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.109,precise_xstrtod,13.02223
108,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0983,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,11.743901
109,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0245,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,2.927015
110,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0183,__memmove_evex_unaligned_erms,2.186301
111,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0169,0x0000000000050500,2.019043
112,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0144,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.720368
113,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0119,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.421693
114,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0091,__pyx_fuse_0__pyx_f_7sklearn_4tree_9_splitter_node_split_best,1.087177
115,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0071,0x0000000000050a0e,0.848237
116,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0057,_ZN4daal13threader_funcIZNS_24conditional_threader_forIZNS_15data_management8internal20computeSumAVX512ImplIdEET_mmPPKS5_EUlmE_EEvbmS5_EUlmE_EEviPKv,0.680979
117,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0051,0x0000000000050a6c,0.6092970000000001
118,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0049,__pyx_f_7sklearn_4tree_10_criterion_7Entropy_children_impurity,0.585403
119,0,80,dt,3,1879,28,8800000,66651086165,119.47,0.0048,AVX512_SKX_isnan_DOUBLE,0.573456
120,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.4195,__pyx_f_7sklearn_4tree_9_splitter_introsort,54.1478015
121,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.1535,tokenize_bytes,19.8133195
122,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.1027,__pyx_f_7sklearn_4tree_10_criterion_23ClassificationCriterion_update,13.2562079
123,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.1017,precise_xstrtod,13.1271309
124,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.0265,__pyx_f_7sklearn_4tree_9_splitter_16DensePartitioner_sort_samples_and_feature_values,3.4205405
125,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.017,__memmove_evex_unaligned_erms,2.194309
126,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.0158,0x0000000000050500,2.0394166
127,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.0135,_ZN4daal15data_management8internal11splitColumnIdiLNS_7CpuTypeE6EEENS_8services10interface16StatusERKNS5_9SharedPtrINS0_10interface112NumericTableEEESC_SC_PKT0_SF_mmmm,1.7425395
128,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.0111,_Z11aquicksort_IN3npy10double_tagEdEiPT0_Pll,1.4327547
129,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.0092,__pyx_fuse_0__pyx_f_7sklearn_4tree_9_splitter_node_split_best,1.1875084
130,0,90,dt,3,2114,28,9900000,76221451436,129.077,0.0065,0x0000000000050a0e,0.8390004999999999
